reach,PFOS,PFOA,PFHxS,PFBS,PFHxA
831,0.927688119195496,0.8613388082495128,0.8553384795153245,0.7872553146731985,0.5774131238375668
832,0.9308027658596956,0.81745788983776,0.80937800356033,0.7181197093353822,0.4575288602262089
833,0.9132926045145581,0.831330106848264,0.8246090309045552,0.7492231860412208,0.5131592872023657
834,0.9199904448022523,0.8041684377121169,0.7949785126449217,0.6873420317171222,0.37886213461338913
835,0.9205250407975913,0.8051169241874688,0.7958533592143126,0.6905991912642682,0.41832241300781764
836,0.9186111524822532,0.7760410200096223,0.7642830062258604,0.6303728999444549,0.33003864692083923
837,0.9344664391907557,0.821345795245802,0.8128467739488391,0.7204000389895012,0.47024194103931705
838,0.914324933354012,0.8074004072884623,0.7986884050672949,0.6954405416417253,0.38289204572987934
839,0.9172356916512033,0.8346886620329118,0.8275274132922726,0.7462852929751453,0.5048445281540493
840,0.9252225476971988,0.8151366150660442,0.8067513799915473,0.7171447220641325,0.4866251547224597
841,0.8898980694022244,0.7897071716519021,0.7821724266955783,0.6985999221238998,0.4667099911597094
842,0.9471544279170618,0.8382138352816332,0.8291290541069702,0.7268362639380055,0.4786639143915605
843,0.9287362656236126,0.8612224042789443,0.8551500033005243,0.7864962742771813,0.5772593477277697
