site_no,vpuid,nested_usable_gauges,basin_huc12s,drainage_km2
13038500,1704,75,151,14957.7
06036650,1002,75,287,24937.5
07146500,1103,75,370,42510.5
10336000,1604,75,393,43377.8
10336035,1604,75,393,43377.8
10336039,1604,75,393,43377.8
07348500,1114,75,559,54259.8
07348505,1114,75,559,54259.8
10344505,1605,74,25,2353.6
10345490,1605,74,25,2353.6
06349070,1013,74,206,20174.3
464557100485800,1013,74,206,20174.3
464703100464600,1013,74,206,20174.3
09467100,1504,74,312,30390.7
09401200,1502,74,648,59333.3
14144700,1708,73,74,5589.7
13211210,1705,73,140,10135.2
13212500,1705,73,140,10135.2
13212549,1705,73,140,10135.2
13212995,1705,73,140,10135.2
13212996,1705,73,140,10135.2
13213000,1705,73,140,10135.2
11364000,1802,73,132,11990.1
11364150,1802,73,132,11990.1
13037000,1704,73,149,14800.9
07189500,1107,73,242,25933.5
09466500,1504,73,307,29950.9
06856000,1025,73,402,42244.5
10339410,1605,72,24,2262.3
10339419,1605,72,24,2262.3
06034500,1002,72,279,24038.9
07061000,1101,72,326,28603.1
09466300,1504,72,305,29836.6
10335000,1604,72,389,41664.7
09401000,1502,72,588,53341.7
09085000,1401,71,41,3767.1
06710000,1019,71,93,8939.1
06710245,1019,71,93,8939.1
06710247,1019,71,93,8939.1
06710250,1019,71,93,8939.1
06711565,1019,71,93,8939.1
06711570,1019,71,93,8939.1
06711575,1019,71,93,8939.1
06711580,1019,71,93,8939.1
06711590,1019,71,93,8939.1
06711618,1019,71,93,8939.1
06711770,1019,71,93,8939.1
06711780,1019,71,93,8939.1
394409105020501,1019,71,93,8939.1
13036000,1704,71,145,14519.8
14092500,1707,71,245,19683.2
14093500,1707,71,245,19683.2
06342470,1013,71,205,20067.2
06342500,1013,71,205,20067.2
